학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,location,위도,경도
초등학교,공립,7091496,서울개현초등학교,Seoul Gaehyeon Elementary School,서울특별시강남서초교육지원청,6321,서울특별시 강남구 선릉로 15,(개포동),02-2138-1937,http://,02-2138-1938,남여공학,,N,,,전기,주간,20240301,20240304,B10,서울특별시교육청,서울특별시,,,,20240303,"서울개현초등학교, 15, 선릉로, 개포1동, 강남구, 서울특별시, 06321, 대한민국",37.4809812,127.0616882
초등학교,공립,7091469,서울자곡초등학교,Seoul Jagok Elementary School,서울특별시강남서초교육지원청,6373,서울특별시 강남구 자곡로 150,(자곡동),02-3413-8700,http://www.jagok.es.kr,02-3414-0030,남여공학,,N,,,전기,주간,20140901,20141024,B10,서울특별시교육청,서울특별시,,,,20230615,"자곡로, 은곡마을, 세곡동, 강남구, 서울특별시, 06375, 대한민국",37.4654196,127.0951668
초등학교,공립,7091468,서울율현초등학교,Seoul Yulhyeon Elementary School,서울특별시강남서초교육지원청,6370,서울특별시 강남구 밤고개로21길 15,/ 서울율현초등학교 (자곡동),02-3413-8804,http://www.yulhyeon.es.kr,02-3413-8880,남여공학,,N,,,전기,주간,20140828,20140828,B10,서울특별시교육청,서울특별시,,,,20230615,"서울율현초등학교, 15, 밤고개로21길, 율현동, 세곡동, 강남구, 서울특별시, 06370, 대한민국",37.4745666,127.1083009
초등학교,공립,7091458,서울세명초등학교,Seoul Semyung Elementary School,서울특별시강남서초교육지원청,6375,서울특별시 강남구 자곡로 55,/ 서울세명초등학교 (세곡동),02-2040-0800,http://www.semyung.es.kr,02-451-6226,남여공학,,N,,,전기,주간,20120830,20121030,B10,서울특별시교육청,서울특별시,,,,20230615,"자곡로, 방죽마을, 세곡동, 강남구, 서울특별시, 06373, 대한민국",37.4742868,127.1044784
초등학교,공립,7091418,서울학동초등학교,Seoul Hakdong Elementary School,서울특별시강남서초교육지원청,6100,서울특별시 강남구 선릉로115길 42,/ 서울학동초등학교 (논현동),02-546-5185,http://hakdong.sen.es.kr/,02-546-6474,남여공학,,N,일반계,,전기,주간,19790126,19790411,B10,서울특별시교육청,서울특별시,,,,20230615,"선릉로115길, 논현2동, 강남구, 서울특별시, 06100, 대한민국",37.5118671,127.0411808
초등학교,공립,7091417,서울포이초등학교,Seoul Po-i Elementary School,서울특별시강남서초교육지원청,6311,서울특별시 강남구 개포로22길 87,/ 서울포이초등학교 (개포동/포이초등학교),02-578-7334,http://poi.sen.es.kr,02-6009-5310,남여공학,,N,일반계,,전기,주간,19901024,19901024,B10,서울특별시교육청,서울특별시,,,,20230615,"서울포이초등학교, 87, 개포로22길, 개포4동, 강남구, 서울특별시, 06311, 대한민국",37.4756705,127.0524703
초등학교,공립,7091416,서울청담초등학교,Seoul Cheongdam Elementary School,서울특별시강남서초교육지원청,6010,서울특별시 강남구 압구정로71길 9,(청담동/청담초등학교),02-542-3779,http://www.cheongdam.es.kr,02-3446-7080,남여공학,,N,일반계,,전기,주간,19800301,19800404,B10,서울특별시교육청,서울특별시,,,,20230615,"압구정로71길, 청담동, 강남구, 서울특별시, 06010, 대한민국",37.5282214,127.0460405
초등학교,공립,7091414,서울일원초등학교,Seoul Ilwon Elementary School,서울특별시강남서초교육지원청,6345,서울특별시 강남구 영동대로4길 20,(일원동/일원초등학교),02-445-8815,www.ilwon.es.kr,02-445-6306,남여공학,,N,일반계,,전기,주간,19841010,19841010,B10,서울특별시교육청,서울특별시,,,,20230615,"서울일원초등학교, 20, 영동대로4길, 개포동, 개포2동, 강남구, 서울특별시, 06345, 대한민국",37.4894424,127.0764023
초등학교,공립,7091409,서울왕북초등학교,Seoul Wangbuk Elementary School,서울특별시강남서초교육지원청,6353,서울특별시 강남구 광평로31길 74,(수서동/왕북초등학교),02-451-5073,http://www.wangbuk.es.kr,02-459-0009,남여공학,,N,일반계,,전기,주간,19631031,19631031,B10,서울특별시교육청,서울특별시,,,,20230615,"광평로31길, 일원동, 일원본동, 강남구, 서울특별시, 06354, 대한민국",37.4854681,127.0898232
초등학교,공립,7091408,서울영희초등학교,Seoul Younghee Elementary School,서울특별시강남서초교육지원청,6338,서울특별시 강남구 일원로 21,(일원동/영희초등학교),02-2226-6016,http://www.younghee.es.kr,02-3411-3133,남여공학,,N,일반계,,전기,주간,19461001,19461001,B10,서울특별시교육청,서울특별시,,,,20230615,"서울영희초등학교, 21, 일원로, 일원1동, 강남구, 서울특별시, 06338, 대한민국",37.4919919,127.0812822
